TransactionDate,CargoName,TargetCity,CommodityName,Quantity,HarborReportVesselID,OVLSVesselID,HarborReportVesselType,OVLSLocation,OVLSVesselType,TransponderTime,DwellTime
2035-11-03,cargo_2035_2394778c,South Paackland,Cod/Gadus n.specificatae,24.375,nauticalnirvana874,nauticalnirvana874,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-11-03T07:46:45.776160,54264.999504
2035-08-16,cargo_2035_23956ba0,South Paackland,Cod/Gadus n.specificatae,18.125,oceanicoasisd3f,oceanicoasisd3f,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-08-16T18:10:04.075919,65336.69714
2035-08-24,cargo_2035_23959ab6,South Paackland,Cod/Gadus n.specificatae,13.125,seawayservicesc71,seawayservicesc71,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-08-24T16:47:52.841379,47033.112693
2035-08-31,cargo_2035_23961648,South Paackland,Cod/Gadus n.specificatae,36.25,transglobal266,transglobal266,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-08-31T13:04:32.954614,46162.401752
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,cutthroattroutcatchere2b,cutthroattroutcatchere2b,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-03T00:00:00,0.0
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,cutthroattroutcatchere2b,cutthroattroutcatchere2b,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-03T19:20:20.163810,60322.647664
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,seawaysavvy102,seawaysavvy102,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-09-03T23:11:58.207925,53094.167461
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,brinebuccaneer9fd,brinebuccaneer9fd,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-03T00:00:00,0.0
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,brinebuccaneer9fd,brinebuccaneer9fd,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-03T20:39:46.674471,55452.09184
2035-09-03,cargo_2035_23962f3c,South Paackland,Cod/Gadus n.specificatae,21.25,transpolar2a4,transpolar2a4,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-09-03T03:38:22.818676,62611.877085
2035-09-13,cargo_2035_23965a72,South Paackland,Cod/Gadus n.specificatae,10.625,arcticgraylingangler094,arcticgraylingangler094,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-13T04:57:30.492131,327749.507869
2035-09-27,cargo_2035_239703bb,South Paackland,Cod/Gadus n.specificatae,50.0,freightflux254,freightflux254,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-09-27T21:27:01.981960,74190.534195
2035-09-29,cargo_2035_239710af,South Paackland,Cod/Gadus n.specificatae,10.0,hooklinesinkera2d,hooklinesinkera2d,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-09-29T07:06:23.644616,147396.463071
2035-09-29,cargo_2035_239710af,South Paackland,Cod/Gadus n.specificatae,10.0,vesselventuresc7e,vesselventuresc7e,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-09-29T01:34:38.119576,51568.153746
2035-10-04,cargo_2035_239726c0,South Paackland,Cod/Gadus n.specificatae,0.0,kingsalmonking5b4,kingsalmonking5b4,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-10-04T20:02:50.275082,273429.724918
2035-10-08,cargo_2035_23973732,South Paackland,Cod/Gadus n.specificatae,27.5,bassbaiterb9f,bassbaiterb9f,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-10-08T17:15:41.220528,67555.811315
2035-10-15,cargo_2035_23975884,South Paackland,Cod/Gadus n.specificatae,15.0,seawayservicesc71,seawayservicesc71,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-15T04:29:39.602607,43887.556457
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,maritimematrix7755,maritimematrix7755,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T21:43:48.709902,68344.728628
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,maritimematrix7755,maritimematrix7755,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T21:43:48.709902,68344.728628
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,cargocircuit26cc,cargocircuit26cc,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T20:46:11.528387,46228.913703
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,cargocircuit26cc,cargocircuit26cc,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T20:46:11.528387,46228.913703
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,vesselvanguardbf2,vesselvanguardbf2,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T03:05:33.782720,54939.038951
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,vesselvanguardbf2,vesselvanguardbf2,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T03:05:33.782720,54939.038951
2035-10-18,cargo_2035_23976a08,South Paackland,Cod/Gadus n.specificatae,18.125,vesselvanguardbf2,vesselvanguardbf2,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-18T03:05:33.782720,54939.038951
2035-10-22,cargo_2035_23977a6d,South Paackland,Cod/Gadus n.specificatae,15.625,goldentroutgrabber7f6,goldentroutgrabber7f6,['Entity.Vessel.FishingVessel'],City of South Paackland,['Entity.Vessel.FishingVessel'],2035-10-22T23:53:09.092599,216585.681149
2035-10-25,cargo_2035_23978abd,South Paackland,Cod/Gadus n.specificatae,20.0,freightfrontiers7134,freightfrontiers7134,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-25T08:22:53.041108,45372.409595
2035-10-25,cargo_2035_23978abd,South Paackland,Cod/Gadus n.specificatae,20.0,freightfrontiers7134,freightfrontiers7134,['Entity.Vessel.CargoVessel'],City of South Paackland,['Entity.Vessel.CargoVessel'],2035-10-25T08:22:53.041108,45372.409595
